Monday,0,C1,C2,C3,C4,C5,C1.1,C1.2,C1.3,C1.4,C2.2,C2.3,C2.4,C2.5,A1,A3,A1.1,A1.2,A1.3,A2.1,A2.2,A2.8,B1,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,W1,W2,W3,W4,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,C Lab1,C Lab2,C Lab3,C Lab4,C lab5,MS Lab,Cisco Lab,CAD CAM Lab,Bio Lab,FSN Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,DigitalLab,PowerElectronicsLab,Seminar Room,DLD Lab,Survey Lab
Monday,1,C2,C4,C5,C2.3,C2.4,C2.5,A1.1,A1.3,A2.2,A2.8,B3,B6,B11,W1,W4,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,C Lab1,C Lab2,C lab5,CAD CAM Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,PowerElectronicsLab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,2,C4,B10,B11,B12,W2,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Civil Engineering Materials Lab,Bio Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,C&ELab,PowerElectronicsLab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,3,B4,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Civil Engineering Materials Lab,Cisco Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,C&ELab,PowerElectronicsLab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,4,A2.8,B11,B12,W1,Engineering Mechanics Lab,Engineering Drawing Hall,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,MS Lab,CAD CAM Lab,DRAWING HALL,Thermo Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,PowerElectronicsLab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,5,W2,W3,W4,Engineering Mechanics Lab,Engineering Drawing Hall,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,C Lab3,DRAWING HALL,Thermo Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,DigitalLab,PowerElectronicsLab,DLD Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,0,C1,C2,C3,C4,C5,C1.1,C1.2,C1.3,C1.4,C2.2,C2.3,C2.4,C2.5,A1,A3,A1.1,A1.2,A1.3,A2.1,A2.2,A2.8,B1,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,W1,W2,W3,W4,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,C Lab1,C Lab2,C Lab3,C Lab4,C lab5,MS Lab,Cisco Lab,CAD CAM Lab,Bio Lab,FSN Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,DigitalLab,PowerElectronicsLab,Seminar Room,DLD Lab,Survey Lab
Tuesday,1,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,MS Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,DigitalLab,PowerElectronicsLab,DLD Lab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,2,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,C&ELab,DigitalLab,PowerElectronicsLab,DLD Lab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,3,Engineering Mechanics Lab,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,Bio Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,C&ELab,DigitalLab,PowerElectronicsLab,DLD Lab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,4,B7,B9,B10,W4,Engineering Mechanics Lab,FYP Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,C&ELab,DigitalLab,PowerElectronicsLab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,5,A1,A2.8,W3,Engineering Mechanics Lab,FYP Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,MS Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,C&ELab,DigitalLab,PowerElectronicsLab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,0,C1,C2,C3,C4,C5,C1.1,C1.2,C1.3,C1.4,C2.2,C2.3,C2.4,C2.5,A1,A3,A1.1,A1.2,A1.3,A2.1,A2.2,A2.8,B1,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,W1,W2,W3,W4,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,C Lab1,C Lab2,C Lab3,C Lab4,C lab5,MS Lab,Cisco Lab,CAD CAM Lab,Bio Lab,FSN Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,DigitalLab,PowerElectronicsLab,Seminar Room,DLD Lab,Survey Lab
Wednesday,1,B4,B11,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,C&ELab,DigitalLab,PowerElectronicsLab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,2,C2.5,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,DRAWING HALL,Thermo Lab,Electric Machines Lab,HMT Lab,PowerElectronicsLab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,3,Engineering Drawing Hall,FYP Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,Bio Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,PhyLab,PowerElectronicsLab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,4,B12,Fluid Mechanics Lab,Civil Engineering Materials Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,DigitalLab,PowerElectronicsLab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,5,A1.3,A2.8,B8,B13,B14,W4,Engineering Mechanics Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,DigitalLab,PowerElectronicsLab,DLD Lab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,0,C1,C2,C3,C4,C5,C1.1,C1.2,C1.3,C1.4,C2.2,C2.3,C2.4,C2.5,A1,A3,A1.1,A1.2,A1.3,A2.1,A2.2,A2.8,B1,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,W1,W2,W3,W4,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,C Lab1,C Lab2,C Lab3,C Lab4,C lab5,MS Lab,Cisco Lab,CAD CAM Lab,Bio Lab,FSN Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,DigitalLab,PowerElectronicsLab,Seminar Room,DLD Lab,Survey Lab
Thursday,1,C5,C1.3,C2.4,A2.1,A2.8,B5,B6,B9,B10,B11,W4,Engineering Mechanics Lab,Engineering Drawing Hall,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,CAD CAM Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,DigitalLab,PowerElectronicsLab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,2,A2.8,W1,Engineering Drawing Hall,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,C&ELab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,3,B8,B9,B13,W4,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,C Lab4,C lab5,MS Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,C&ELab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,4,B1,B12,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,C lab5,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,Vibrations Lab,C&ELab,PowerElectronicsLab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,5,A1,A1.3,B5,B8,B10,B11,B12,B13,W1,W2,W3,W4,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,Vibrations Lab,C&ELab,PowerElectronicsLab,DLD Lab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,0,C1,C2,C3,C4,C5,C1.1,C1.2,C1.3,C1.4,C2.2,C2.3,C2.4,C2.5,A1,A3,A1.1,A1.2,A1.3,A2.1,A2.2,A2.8,B1,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,W1,W2,W3,W4,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,C Lab1,C Lab2,C Lab3,C Lab4,C lab5,MS Lab,Cisco Lab,CAD CAM Lab,Bio Lab,FSN Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,DigitalLab,PowerElectronicsLab,Seminar Room,DLD Lab,Survey Lab
Friday,1,C2,C1.3,C2.2,A2.8,B12,B14,Engineering Mechanics Lab,Engineering Drawing Hall,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,C Lab4,Mechanics Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,DigitalLab,PowerElectronicsLab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,2,C3,A2.8,B3,B4,B6,B7,B10,B11,B13,W3,W4,Engineering Mechanics Lab,Engineering Drawing Hall,Getechnical Engineering Lab,Civil Engineering Materials Lab,Mechanics Lab,Electric Machines Lab,Vibrations Lab,PhyLab,DigitalLab,PowerElectronicsLab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,3,C4,C1.1,C2.2,A1,A2.2,A2.8,B7,B8,B9,B10,B11,B13,B14,W1,W3,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Civil Engineering Materials Lab,C Lab1,MS Lab,Bio Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,Vibrations Lab,PhyLab,DigitalLab,PowerElectronicsLab,DLD Lab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,4,C1,C2,C3,C4,C5,C1.1,C1.2,C1.3,C1.4,C2.2,C2.3,C2.4,C2.5,A1,A3,A1.1,A1.2,A1.3,A2.1,A2.2,A2.8,B1,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,W1,W2,W3,W4,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,C Lab1,C Lab2,C Lab3,C Lab4,C lab5,MS Lab,Cisco Lab,CAD CAM Lab,Bio Lab,FSN Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,DigitalLab,PowerElectronicsLab,DLD Lab,Survey Lab,,
Friday,5,C1,C2,C3,C4,C1.2,C1.3,C1.4,C2.2,C2.3,C2.4,C2.5,A3,A1.1,A1.2,A1.3,A2.1,A2.8,B1,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B14,W1,W2,W3,W4,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,C Lab1,C Lab3,MS Lab,Cisco Lab,Bio Lab,FSN Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,DigitalLab,PowerElectronicsLab,DLD Lab,Survey Lab,,,,,,,,,,
